title,popularity,release_date
In the Bedroom,6.9796380000000005,2001-11-23
We Own the Night,14.518707999999998,2007-05-25
The Promise,3.866026,2005-12-15
4 Months 3 Weeks and 2 Days,9.270133,2007-08-24
Persepolis,24.281951,2007-05-23
The Diving Bell and the Butterfly,13.65494,2007-05-22
The Wedding Planner,14.949395,2001-01-26
Mr. Deeds,18.121404000000002,2002-06-28
Hidalgo,16.759252,2004-03-05
The Patriot,23.657284,2000-06-28
Hostage,23.663713,2005-03-09
Training Day,52.081131,2001-10-05
Along Came a Spider,21.252797,2001-04-06
The Lake House,29.887359999999997,2006-06-16
I Robot,95.914473,2004-07-15
Mr. Holland's Opus,6.775294000000001,1995-12-29
Open Range,19.068175,2003-08-29
The Station Agent,11.578545,2003-01-26
Original Sin,14.831401999999999,2001-08-03
National Treasure,58.849256000000004,2004-11-19
Ratatouille,65.677399,2007-06-22
Mission to Mars,16.058284,2000-03-10
The Whole Nine Yards,23.441135,2000-02-18
Flirting with Disaster,5.500324,1996-03-22
X-Men Origins: Wolverine,5.954333999999999,2009-04-28
Birthday Girl,5.831302,2001-09-06
Romeo Must Die,19.750059,2000-03-20
Romeo Is Bleeding,4.850402,1993-09-13
The Last Castle,15.433244,2001-10-19
American Pie,60.767168000000005,1999-07-09
Wasabi,18.209570000000003,2001-10-31
Payback,17.457947,1999-02-05
Final Fantasy: The Spirits Within,26.074907999999997,2001-07-02
Out of Time,14.993459,2003-10-03
L.A. Confidential,24.860326,1997-09-19
Days of Thunder,16.278022,1990-06-27
The Whole Ten Yards,14.729385999999998,2004-04-07
Me Myself & Irene,39.001682,2000-06-22
The Perfect Storm,25.752118,2000-03-15
The Time Machine,25.978555,2002-03-04
Kiss of the Dragon,16.936576000000002,2001-07-06
Cop Land,19.284129,1997-08-15
The Cotton Club,8.59075,1984-12-14
Reindeer Games,11.470135,2000-02-25
Lost in Space,17.455023999999998,1998-04-03
Chill Factor,3.2769120000000003,1999-09-01
Breakdown,9.176339,1997-05-02
The Glass House,9.448516999999999,2001-09-14
Big Trouble,5.201688,2002-04-05
Death at a Funeral,20.410354,2007-02-09
16 Blocks,32.31022,2006-03-01
Aimee & Jaguar,2.8326279999999997,1999-02-10
Unfaithful,14.382253,2002-05-10
Eastern Promises,35.481169,2007-09-14
Valkyrie,38.832842,2008-12-25
Chasing Amy,20.601482999999998,1997-04-04
Paris je t'aime,10.573191,2006-05-16
The Golden Compass,42.990906,2007-12-04
Stardust,48.032734000000005,2007-08-09
The General's Daughter,18.345613,1999-06-18
Bicentennial Man,24.939295,1999-12-17
Big,20.716023,1988-06-03
Rize,1.623769,2005-01-15
Closer,22.636908,2004-12-01
Cold Mountain,24.598479,2003-12-24
Jakob the Liar,8.962245,1999-09-16
Clerks,19.748658,1994-09-13
Mallrats,16.139771,1995-10-20
Jay and Silent Bob Strike Back,21.865021,2001-08-22
Clerks II,18.077963,2006-05-25
Space Jam,36.125715,1996-11-15
Inkheart,27.018886,2008-12-11
Beowulf,35.601665000000004,2007-11-05
In the Name of the King: A Dungeon Siege Tale,15.406173,2007-11-29
Executive Decision,17.231675,1996-03-15
Reign Over Me,20.827779999999997,2007-03-23
Sicko,14.098951999999999,2007-05-18
Topaz,5.975604,1969-12-18
Asterix at the Olympic Games,20.344364000000002,2008-01-13
The Greatest Story Ever Told,3.011205,1965-02-15
The Nativity Story,3.721272,2006-12-01
Harley Davidson and the Marlboro Man,12.869436,1991-08-23
The Chronicles of Narnia: Prince Caspian,53.978602,2008-05-15
Eragon,30.863434,2006-12-14
The Princess Bride,44.533612,1987-09-18
The Bourne Identity,86.47681700000001,2002-06-14
The Bourne Supremacy,53.213931,2004-07-23
The Bourne Ultimatum,45.381501,2007-08-03
Spanglish,14.209329,2004-12-17
The Aviator,45.616098,2004-12-17
The Tailor of Panama,7.047975,2001-02-11
Code 46,8.859657,2003-09-02
Born on the Fourth of July,25.949277,1989-12-20
Shopgirl,4.820166,2005-10-21
Splash,21.735068,1984-03-09
Return to Me,5.771479,2000-04-07
The Specialist,16.582709,1994-10-07
The Mothman Prophecies,14.733513,2002-01-25
Deconstructing Harry,11.352692999999999,1997-08-26
Two Weeks Notice,24.153567000000002,2002-12-19
The Game,62.925175,1997-09-12
Hard Candy,25.918007,2005-01-14
What Lies Beneath,15.835672,2000-07-21
Batman,9.815394,1966-07-30
House of 1000 Corpses,19.301432000000002,2003-04-11
Dark City,39.324831,1998-02-27
The Blair Witch Project,41.690578,1999-07-14
The Bounty,7.436491,1984-05-04
Signs,28.848187,2002-08-02
Memoirs of an Invisible Man,7.222985,1992-02-28
Evan Almighty,27.082182,2007-06-09
15 Minutes,15.205371,2001-03-01
40 Days and 40 Nights,14.18136,2002-03-01
About Schmidt,19.925026000000003,2002-12-13
The Abyss,24.961625,1989-08-09
Adaptation.,26.441669,2002-12-06
American Pie 2,36.432598,2001-08-10
American Splendor,7.792851,2003-08-15
The Curse of the Jade Scorpion,9.317264999999999,2001-08-05
Pierrot le Fou,7.791898,1965-08-29
Pitch Black,18.493202,2000-02-18
The Chronicles of Riddick,27.835435999999998,2004-06-11
My Boss's Daughter,14.813614000000001,2003-08-21
Identity,45.915165,2003-04-25
A Very Long Engagement,23.05451,2004-10-26
The Apostle,4.227807,1997-10-09
As Good as It Gets,37.885022,1997-12-19
The Astronaut's Wife,20.697556,1999-08-26
The Addams Family,37.179547,1991-11-22
The First Wives Club,10.704596,1996-09-20
License to Wed,14.503568,2007-07-04
Hairspray,31.160542,2007-07-13
Becoming Jane,18.236284,2007-03-02
Roar,1.15641,1981-11-12
1408,35.169779,2007-07-12
Jekyll and Hyde ... Together Again,0.805312,1982-11-10
Gods and Monsters,5.588652,1998-01-21
Young Frankenstein,36.444894,1974-12-15
Night Watch,12.540624000000001,2004-06-27
Ace Ventura: Pet Detective,41.249004,1994-02-04
Doctor Dolittle,21.462935,1998-06-22
Intolerance,3.232447,1916-09-04
The Big Parade,0.785744,1925-11-05
42nd Street,1.933366,1933-02-02
It Happened One Night,11.871424000000001,1934-02-22
Top Hat,3.8984980000000005,1935-09-06
Modern Times,28.27648,1936-02-05
Mr. Smith Goes to Washington,12.2624,1939-10-19
Red River,5.3448150000000005,1948-08-26
Basic Instinct 2,13.483386999999999,2006-03-29
Midnight Cowboy,21.119208999999998,1969-05-25
Gangs of New York,46.160047999999996,2002-12-14
Bad Company,14.086292000000002,2002-06-07
Bambi,47.651878,1942-08-14
Bandits,24.353302,2001-10-12
Barry Lyndon,29.543331,1975-12-18
Beavis and Butt-Head Do America,12.60629,1996-12-15
Good Night and Good Luck.,17.717681,2005-09-16
Dirty Pretty Things,9.177896,2002-09-05
The Train,4.49029,1964-09-21
88 Minutes,16.883429,2007-02-14
A Scanner Darkly,26.093042999999998,2006-05-25
Under Siege 2: Dark Territory,13.080725,1995-07-13
U-571,18.096884,2000-04-20
Girl Interrupted,10.713521,1999-12-21
Changeling,27.509159999999998,2008-01-30
Bogus,3.379454,1996-09-06
The Number 23,23.197408,2007-02-23
Ransom,16.411345,1996-11-08
I Know What You Did Last Summer,27.654472,1997-10-17
I Still Know What You Did Last Summer,20.793026,1998-11-13
Flash Gordon,12.343507,1980-09-01
Girl with a Pearl Earring,19.944479,2003-08-31
No Reservations,15.794946,2007-07-25
54,11.880899000000001,1998-08-28
Flags of Our Fathers,23.9366,2006-10-18
The Lady from Shanghai,8.055083999999999,1947-12-24
Things We Lost in the Fire,8.842869,2007-09-26
I'm Not There.,13.032308,2007-10-01
Corpse Bride,43.571612,2005-09-09
What Women Want,31.39165,2000-12-15
Team America: World Police,26.509175,2004-10-10
Beetlejuice,58.553213,1988-02-29
The Believer,9.856826,2001-01-19
My Girl,20.935169000000002,1991-11-27
Black Rain,11.196019999999999,1989-09-22
Bloody Sunday,7.330691000000001,2002-01-16
The Transporter,34.433521,2002-10-02
Blow,28.350528999999998,2001-04-04
Road to Perdition,49.078546,2002-07-12
Revolutionary Road,20.360549,2008-12-19
Trade,11.237374,2007-01-23
Spellbound,11.145914999999999,1945-12-28
Scream,45.996109999999994,1996-12-20
Scream 2,35.244037,1997-12-09
Scream 3,24.992057,2000-02-03
The Kid,18.281798000000002,2000-07-07
Scary Movie 2,35.376971000000005,2001-07-04
Veer-Zaara,3.721858,2004-11-12
Scary Movie 3,36.585509,2003-10-24
Scary Movie 4,32.549282,2006-04-13
Scary Movie 5,36.819044,2013-04-11
Charlie's Angels,40.20395,2000-11-02
Atonement,33.369305,2007-08-29
Pride & Prejudice,36.58383,2005-09-16
The Kingdom,26.123704999999998,2007-08-22
Monster-in-Law,10.411996,2005-05-13
Shall We Dance?,14.231898999999999,2004-10-15
G.I. Jane,19.434672,1997-08-22
The Brothers Grimm,40.138009000000004,2005-08-26
Seabiscuit,14.824166,2003-07-22
My Super Ex-Girlfriend,20.252143,2006-06-20
Legends of the Fall,26.952727000000003,1994-12-16
The Devil's Own,15.350451000000001,1997-03-12
The Assassination of Jesse James by the Coward Robert Ford,35.53352,2007-09-02
30 Days of Night,33.394082,2007-10-17
Lions for Lambs,9.789027,2007-10-22
Elizabeth: The Golden Age,15.274137,2007-09-09
Elizabeth,14.179538,1998-09-13
Enchanted,29.21998,2007-11-20
Panic Room,53.043124,2002-03-29
Sympathy for Lady Vengeance,17.074842999999998,2005-07-29
Be Cool,18.614720000000002,2005-03-04
The Machinist,35.252056,2004-02-09
Michael Clayton,18.961323,2007-09-28
Sense and Sensibility,20.898711,1995-12-13
Armored,15.21229,2009-12-04
Raising Helen,13.298205,2004-05-27
The Sum of All Fears,22.392544,2002-05-31
Hot Fuzz,38.623178,2007-02-14
Jindabyne,8.950864,2006-07-20
Across the Universe,11.872841000000001,2007-09-14
Southland Tales,9.349386,2006-05-15
